date,total_taken,total_-ve,total_confim,total_released,total_dead
2020-01-01,11571321,12387662,217407,154477,4353
2020-06-29,2519908,2457396,25514,22858,564
2020-06-28,2503390,2439950,25430,22728,564
2020-06-27,2487560,2422522,25306,22634,36192
2020-05-31,1821644,1752120,22936,20810,29920
2020-05-30,1805802,1730324,22882,20796,27109
2020-05-29,1770240,1698322,22804,20726,538
2020-05-28,1737332,1669904,22688,20680,20429
2020-05-26,1678950,1612412,22450,20550,538
2020-05-21,1577368,1518946,22244,20270,528
2020-05-19,1531148,1475142,22156,19876,49773
2020-05-18,1506422,1452106,22130,19808,526
2020-05-17,1495306,1437886,22100,19776,524
2020-05-15,1453494,1391708,22036,19642,520
2020-05-13,1391840,1330758,21924,19390,26409
2020-05-11,1336984,1293322,21818,19264,33646
2020-05-09,1320060,1280074,21680,19136,34156
2020-05-08,1309726,1270348,21644,18968,36166
2020-06-30,1273766,1240157,12800,11537,33910
2020-05-27,852876,820550,11265,10295,269
2020-05-25,826437,796142,11206,10226,267
2020-03-31,821128,767772,19572,10816,26092
2020-05-24,820289,788766,11190,10213,266
2020-05-23,814420,781686,11165,10194,266
2020-05-22,802418,770990,11142,10162,29780
2020-03-29,788282,739060,19166,10066,304
2020-05-20,776433,748972,11110,10066,263
2020-03-28,775850,723766,18956,9622,288
2020-03-27,753922,704820,18664,9056,278
2020-05-16,740645,711265,11037,9851,262
2020-03-26,729884,682664,18482,8288,262
2020-03-25,715792,668962,18274,7460,252
2020-05-14,711484,679771,10991,9762,25690
2020-03-24,697164,648210,18074,7014,25310
2020-05-12,680890,653624,10936,9670,258
2020-03-23,676072,630894,17922,6332,222
2020-05-10,663886,642884,10874,9610,256
2020-03-22,663560,616686,17794,5818,208
2020-03-21,655018,606012,17598,5224,204
2020-05-06,643095,624280,10806,9333,255
2020-05-05,640237,620575,10804,9283,23530
2020-03-20,633328,584974,17304,4466,188
2020-03-19,614048,565110,17130,3894,182
2020-03-18,591294,541776,16826,3080,35904
2020-03-17,573432,522210,16640,2802,162
2020-03-16,549008,502594,16472,2274,24495
2020-03-15,536424,487556,16252,1668,150
2020-03-14,522670,471230,16172,1428,144
2020-03-13,497294,445456,15958,1020,134
2020-03-12,469996,418804,15738,666,132
2020-03-11,444790,392200,15510,576,120
2020-03-30,395194,372002,9661,5228,158
2020-03-10,210144,184179,7513,247,31580
2020-03-09,196618,171778,7382,166,30880
2020-03-08,188518,162008,7134,130,42780
2020-03-07,178189,151802,6767,118,39500
2020-02-01,742,578,24,0,25710
2020-01-31,624,490,22,0,31880
2020-01-30,492,398,12,0,0
2020-01-29,374,310,8,0,0
2020-01-27,122,112,8,0,34860
2020-01-28,116,97,4,0,0
2020-01-26,102,94,6,0,0
2020-01-25,54,50,4,0,24630
2020-01-24,54,50,4,0,0
2020-01-23,22,21,1,0,0
