province,total_confirmed,total_released,total_deceased
Daegu,217175,153467,4594
40,128207,111329,3152
Gyeongsangbuk-do,45637,30847,1456
30,39487,2955,311
Seoul,33902,19703,111
Gyeonggi-do,30333,19582,598
Chungcheongnam-do,6417,4838,0
Incheon,6066,3277,6
Busan,5441,4312,105
Gyeongsangnam-do,4852,3674,0
Gangwon-do,2310,1626,89
Ulsan,2134,1553,36
Daejeon,2064,1399,27
50,1982,1835,58
Chungcheongbuk-do,1973,1403,0
Sejong,1521,974,0
Gwangju,1453,1193,0
Jeollabuk-do,792,552,0
Jeju-do,671,459,0
Jeollanam-do,590,422,0
